productid,locationid,calendarid,productcategoryid,startdate,enddate,divisionid,unitcost_sum,unitcost_count,initunitprice_sum,initunitprice_count,initunitvol,initrev,optunitprice_sum,optunitprice_count,optunitvol,optrev
1,5,2,85,2012-10-12,2011-07-31,1,29.24,17,50.5,5,94,852.28,79.38,37,82,1465.09
1,5,3,68,2011-08-28,2012-03-31,2,182.85,64,345.81,54,15,1760.29,656.93,11,93,1388.24
1,5,4,99,2011-03-11,2011-07-22,3,80.99,64,1938.45,87,41,457.6,33.72,69,45,282.02
1,5,5,54,2012-06-19,2012-02-14,1,304.33,69,1957.54,69,23,1971.18,1834.83,2,35,1945.79
1,5,6,57,2011-07-06,2012-04-02,3,255.03,88,1901.06,54,80,1556.99,60.89,12,60,570.9
1,5,7,56,2012-04-01,2012-10-01,4,729.84,77,1484.27,51,14,1811.6,1999.04,29,62,738.42
1,5,8,97,2011-04-04,2012-08-24,3,750.28,18,178.44,25,32,905.88,899.51,65,7,1478.5
1,5,9,33,2011-12-20,2012-09-01,4,844.94,62,657.29,91,20,1756.08,443.19,41,61,1119.02
1,5,10,63,2012-07-02,2012-12-14,3,153.66,50,594.67,62,28,473.96,1713.81,44,92,1817.78
1,6,1,66,2011-11-22,2012-02-25,3,136.25,82,1870.92,31,33,990.86,1686.6,87,16,1710.53
1,6,2,43,2011-03-12,2011-05-24,3,357.53,10,318.05,85,36,441.24,966.64,86,39,55.9
1,6,3,73,2011-09-09,2012-09-05,3,529.65,21,208.02,50,4,1024.16,535.58,3,68,601.49
1,6,4,98,2011-01-01,2012-05-29,1,535.25,35,1269.39,99,69,395.91,1468.67,14,75,335.58
1,6,5,40,2011-05-10,2011-05-18,4,845.84,99,460.86,30,84,1302.32,1648.09,90,6,1674.69
1,6,6,91,2011-10-13,2012-02-28,4,430.21,31,1327.44,19,39,1556.57,1364.53,31,60,71.96
1,6,7,21,2011-03-30,2011-12-21,1,484.4,99,1940.09,25,30,1408.31,360.44,88,47,474.15
1,6,8,26,2011-01-03,2011-06-25,3,272.7,26,194.91,55,61,480.15,960.43,32,90,40.9
1,6,9,60,2012-01-10,2011-05-19,2,254.19,51,1177.78,62,31,861.94,41.46,57,3,1695.3
1,6,10,90,2011-05-05,2011-07-27,2,952.6,76,1481.17,34,69,1759.68,265.43,29,26,1448.7
1,7,1,77,2012-11-01,2011-03-27,3,247.62,26,1328.53,20,33,1020.98,102.5,76,95,733.17
1,7,2,17,2011-04-26,2012-01-18,1,396.62,74,447.44,61,52,889.91,77.32,52,38,1111.13
1,7,3,24,2011-07-29,2011-07-15,2,930.03,97,1843.87,83,31,1266.28,575.93,54,31,916.94
1,7,4,88,2011-08-30,2012-10-22,2,375.49,96,1777.35,61,82,1990.72,1555.95,99,32,1624.91
1,7,5,97,2012-04-18,2011-05-13,3,536.64,66,874.48,54,65,1090.05,164.05,10,15,1853.96
1,7,6,41,2012-06-20,2012-06-06,2,79.52,91,1857.04,13,33,1677.48,243.19,6,54,334.69
1,7,7,50,2012-03-13,2011-10-21,4,478.02,20,1507.56,53,94,510.08,89.96,2,19,1183.96
1,7,8,17,2011-12-04,2012-04-06,4,477.77,50,1472.11,2,33,1764.14,1054.55,11,94,1576.82
1,7,9,98,2012-08-28,2011-12-03,4,267.46,7,324.9,57,33,491.91,1732.02,70,25,1908.53
1,7,10,17,2012-08-26,2011-12-03,1,192.96,57,690.85,57,52,707.82,239.41,44,16,248.86
1,8,1,83,2011-08-20,2011-03-03,2,267.18,55,97.45,56,16,604.89,1381.8,17,2,683.91
1,8,2,93,2011-09-14,2011-10-29,3,911.4,91,1438.24,98,42,1222.37,1352.54,14,35,1317.35
1,8,3,98,2012-01-05,2012-08-07,3,300.29,76,1333.82,39,78,1791.49,106.5,56,64,1254.75
1,8,4,44,2011-12-04,2011-08-27,2,533.92,69,273.51,16,84,320.2,79.7,17,24,1456.59
1,8,5,49,2012-05-17,2012-03-14,1,736.74,59,989.85,77,81,802.15,869.09,78,64,1204.85
1,8,6,82,2012-04-08,2011-05-31,3,833.76,83,112.2,69,24,890.77,1108.53,14,92,1277.63
1,8,7,9,2011-06-07,2012-01-23,2,110.07,71,1252.55,75,30,1059.47,1443.17,76,78,620.55
1,8,8,97,2012-02-20,2011-11-05,1,32.99,34,872.68,34,21,190.38,322.87,30,51,345.63
1,8,9,98,2011-09-07,2012-04-05,1,810.91,82,1575.01,37,62,834.16,111.76,76,67,434.51
1,8,10,64,2011-06-26,2012-06-11,1,211.99,86,205.86,56,61,1763.25,164.16,94,12,533.61
1,9,1,13,2011-08-25,2011-12-25,2,957.34,33,1586.39,61,6,190.62,1778.18,12,73,376.41
1,9,2,14,2011-03-14,2012-10-24,3,404.11,90,1925.54,38,14,113.42,1938.5,51,82,329.0
1,9,3,23,2011-06-09,2011-06-12,2,739.18,24,418.48,12,75,1987.09,1005.07,25,34,570.4
1,9,4,39,2012-12-18,2012-01-22,4,461.17,47,1460.76,83,58,171.48,1473.37,5,98,1856.13
1,9,5,24,2012-09-03,2012-07-24,3,578.67,56,1725.05,46,24,7.38,918.76,86,69,417.08
1,9,6,33,2011-06-06,2011-01-19,3,601.62,72,368.94,33,32,1572.86,940.24,8,20,218.36
1,9,7,3,2012-12-22,2012-10-04,3,144.81,62,365.25,14,28,1164.47,940.43,18,13,636.34
1,9,8,61,2011-09-25,2011-03-19,2,380.67,62,1179.64,99,10,162.53,1841.05,43,74,1489.64
1,9,9,68,2012-01-20,2012-08-03,1,182.79,4,1524.12,77,52,1603.8,665.99,38,71,83.34
1,9,10,72,2011-05-11,2012-11-11,1,814.09,83,429.4,41,7,1380.48,1348.64,79,85,1164.5
1,10,1,76,2011-12-18,2011-04-16,2,862.96,37,721.89,25,63,95.64,841.49,16,78,697.59
1,10,2,74,2011-07-30,2012-01-02,2,807.44,52,1078.84,51,25,1182.78,841.45,44,67,692.12
1,10,3,59,2012-12-04,2011-06-20,4,395.96,31,1396.33,26,37,906.47,594.1,36,4,625.46
1,10,4,59,2012-05-03,2012-01-15,4,804.89,72,1689.03,40,81,1824.48,520.43,6,8,470.09
1,10,5,87,2011-01-04,2012-12-25,4,893.11,32,1337.9,39,64,1282.36,1540.75,92,5,651.29
1,10,6,78,2011-07-19,2012-08-14,2,207.82,82,1677.62,84,70,1892.03,961.32,74,39,957.83
1,10,7,31,2011-06-04,2012-11-28,1,840.45,25,885.46,44,18,931.37,1651.3,67,98,1638.78
1,10,8,5,2011-08-18,2011-09-27,1,900.49,5,1124.11,6,36,270.21,1263.17,59,43,1861.17
1,10,9,93,2011-02-23,2012-08-02,2,534.59,99,149.92,36,14,1057.54,506.22,69,10,1098.53
1,10,10,57,2012-06-27,2011-08-11,2,507.96,63,79.97,63,29,1044.16,1114.66,94,7,184.58
2,1,1,67,2012-03-16,2011-01-11,2,714.02,49,320.02,67,27,869.41,1730.52,1,16,1229.27
2,1,2,78,2012-06-24,2012-12-30,2,723.42,10,687.52,12,39,1124.58,1649.77,67,96,370.06
2,1,3,2,2011-06-14,2011-04-27,2,574.79,56,989.27,66,75,187.02,1351.67,16,70,568.78
2,1,4,66,2012-10-09,2012-10-16,1,599.59,54,365.58,27,8,1642.49,953.36,39,65,98.13
2,1,5,40,2011-12-02,2011-09-13,2,618.06,37,1257.91,9,82,542.1,1571.46,80,7,19.57
2,1,6,34,2011-03-20,2011-11-28,4,498.89,66,813.6,8,7,8.26,1156.57,59,57,464.68
2,1,7,12,2011-04-04,2011-11-04,3,848.8,63,764.34,29,39,1068.77,1738.91,9,71,1779.5
2,1,8,76,2011-04-23,2011-07-08,3,795.26,33,1302.61,78,20,1409.62,577.62,75,69,1507.08
2,1,9,81,2011-09-05,2011-03-16,2,200.6,8,237.53,14,55,1676.2,1976.34,44,27,164.38
2,1,10,87,2011-11-29,2012-12-25,4,829.73,51,1305.69,38,25,270.99,1769.86,41,69,181.71
2,2,1,96,2012-01-24,2011-07-19,1,494.97,34,469.37,85,54,258.23,406.53,99,77,754.88
2,2,2,62,2012-09-23,2012-08-04,3,957.22,35,1713.89,15,96,1837.38,1314.15,8,75,562.26
2,2,3,75,2012-09-23,2012-12-21,1,770.62,44,1682.07,47,5,336.02,534.91,31,64,1874.32
2,2,4,40,2011-03-30,2011-02-15,1,317.82,4,146.52,28,29,809.39,583.72,87,56,1291.76
2,2,5,22,2011-07-30,2012-11-05,3,408.09,34,349.32,72,66,287.13,966.51,13,10,1978.41
2,2,6,4,2011-01-12,2011-01-21,4,668.42,40,1160.1,13,22,1254.17,555.08,52,88,1249.39
2,2,7,17,2011-07-14,2011-10-10,1,52.13,23,281.92,47,29,664.1,1115.73,22,24,1093.22
2,2,8,20,2011-02-18,2011-03-14,4,824.37,79,581.73,51,63,1535.36,1411.55,60,41,1984.19
2,2,9,69,2012-01-25,2011-02-06,2,303.24,68,239.9,77,85,73.13,1418.33,5,3,656.22
2,2,10,33,2012-02-26,2012-12-04,2,714.48,1,1084.99,88,11,198.16,1467.55,82,4,419.28
2,3,1,97,2012-03-17,2011-11-13,3,699.84,22,1840.15,50,15,1776.79,1882.84,86,71,449.34
2,3,2,60,2011-10-23,2011-04-14,1,433.3,14,842.73,42,72,574.86,1780.1,21,94,37.08
2,3,3,22,2011-02-24,2011-09-29,3,826.83,15,1007.1,89,57,1513.58,201.74,87,53,876.36
2,3,4,10,2011-06-13,2012-03-06,2,493.06,49,1353.03,37,6,531.45,317.78,1,44,980.09
2,3,5,18,2011-07-22,2012-01-16,4,870.22,67,835.62,80,13,300.03,1868.74,100,42,24.03
2,3,6,49,2011-07-31,2011-11-10,3,120.61,56,1892.68,55,63,518.45,397.14,92,25,1662.8
2,3,7,84,2012-09-27,2011-10-11,4,204.51,12,329.03,79,36,1865.46,1590.03,89,71,1028.79
2,3,8,5,2011-11-23,2012-07-13,2,651.25,41,968.19,2,100,1352.05,995.01,79,81,1303.71
2,3,9,10,2012-03-07,2011-04-13,3,117.77,91,433.49,24,70,954.53,139.62,16,97,1670.44
2,3,10,47,2011-08-09,2011-07-23,1,14.3,12,832.67,87,76,743.36,1140.04,67,69,824.53
2,4,1,8,2012-08-25,2012-08-09,1,910.06,13,918.67,74,22,564.79,1297.92,30,18,1942.83
2,4,2,14,2012-09-13,2012-05-07,4,525.08,44,630.7,21,98,143.03,494.62,70,32,34.99
2,4,3,24,2011-12-08,2011-03-28,4,968.87,60,465.53,1,77,502.13,556.61,15,70,1779.07
2,4,4,51,2011-03-18,2011-09-10,4,602.62,80,965.65,100,72,1986.83,324.98,43,13,1813.69
2,4,5,62,2011-04-27,2012-12-05,3,560.39,80,1170.94,39,94,244.0,1074.05,83,74,524.83
2,4,6,53,2011-06-05,2011-01-03,4,435.72,33,631.16,24,49,406.67,1490.56,79,84,1074.78
2,4,7,67,2012-07-27,2012-10-07,4,296.02,49,1484.74,72,36,1357.94,858.38,61,36,1307.52
2,4,8,100,2012-09-26,2012-05-06,2,344.99,28,99.74,76,23,1549.75,856.42,43,6,1239.66
2,4,9,54,2012-04-30,2011-06-06,3,913.85,50,848.75,41,69,1403.93,933.7,18,21,997.59
2,4,10,83,2011-08-07,2011-09-11,3,973.81,31,731.98,90,55,227.15,710.42,64,5,1183.91
2,5,1,51,2011-12-22,2011-09-07,3,335.75,63,166.74,78,83,48.53,275.01,74,87,13.73
2,5,2,48,2011-03-23,2011-06-20,3,617.79,53,1589.08,47,1,1860.64,1311.71,64,15,879.8
2,5,3,84,2012-08-25,2011-02-01,4,728.71,64,479.09,32,67,1831.68,950.24,4,74,299.06
2,5,4,55,2012-06-19,2012-10-29,4,422.89,7,970.01,26,93,615.29,1683.62,20,79,1823.29
2,5,5,47,2012-10-23,2011-09-21,4,686.06,38,1575.46,47,98,728.02,1710.46,63,97,1147.07
2,5,6,42,2011-08-14,2012-12-26,4,456.3,52,1546.34,91,3,1323.35,1358.41,30,40,238.83
2,5,7,65,2012-10-19,2012-05-13,4,975.48,8,401.53,63,5,553.35,1698.36,30,49,415.72
2,5,8,25,2012-04-06,2012-03-06,4,603.76,28,1160.48,40,94,865.71,1385.81,42,81,883.64
2,5,9,87,2012-08-20,2012-12-22,2,50.55,79,1231.84,97,42,204.43,1572.5,10,66,1634.43
2,5,10,89,2012-01-28,2012-08-29,3,693.63,13,1107.19,82,81,827.73,948.03,22,2,1.24
2,6,1,45,2011-04-08,2012-12-23,1,984.32,15,1237.22,31,33,673.02,1238.46,3,21,894.51
2,6,2,78,2011-10-11,2012-02-27,1,224.12,37,1370.92,31,63,1010.56,1736.78,20,37,380.84
2,6,3,1,2011-12-05,2012-09-16,1,312.32,70,946.4,100,74,562.77,1323.95,29,77,1996.09
2,6,4,69,2012-01-28,2011-12-20,3,854.06,76,979.31,45,95,1495.03,343.64,62,50,823.67
2,6,5,92,2011-01-02,2012-02-23,1,366.38,5,1232.2,60,37,98.29,325.81,46,53,1574.67
2,6,6,77,2012-06-06,2012-02-21,2,821.93,68,578.28,72,60,1172.06,1692.45,54,62,113.16
2,6,7,62,2012-04-15,2011-06-14,4,963.51,66,884.54,41,32,1015.83,796.14,7,45,55.02
2,6,8,15,2012-08-29,2012-12-06,1,571.71,43,267.93,23,19,385.33,1708.14,49,37,111.62
2,6,9,40,2012-02-20,2012-10-19,4,148.21,25,1411.02,2,57,883.01,1059.74,66,40,40.16
2,6,10,16,2012-01-13,2011-12-29,2,346.98,65,1574.41,59,92,288.26,5.07,40,100,170.31
2,7,1,84,2011-08-15,2012-11-10,3,540.5,97,887.74,98,48,855.16,697.43,60,97,1099.25
2,7,2,27,2012-12-21,2011-11-21,1,784.1,7,1905.76,71,35,1681.37,903.69,20,52,1355.1
2,7,3,36,2012-03-13,2012-01-29,1,874.9,98,541.06,49,23,1430.01,1047.55,2,96,1981.44
2,7,4,35,2011-11-22,2012-02-28,1,711.48,48,1706.01,92,59,768.61,278.4,87,28,992.69
2,7,5,46,2011-08-27,2011-04-14,2,690.78,85,296.7,21,14,446.33,377.78,41,70,1744.61
2,7,6,25,2011-08-04,2012-11-02,2,539.81,32,492.51,46,9,1952.83,854.85,92,46,1128.46
2,7,7,88,2012-12-23,2012-05-13,4,423.84,90,1818.84,34,63,1949.52,503.32,50,8,1553.91
2,7,8,71,2011-03-03,2012-03-16,3,863.49,90,1644.79,21,68,1616.01,1179.3,74,16,1597.05
2,7,9,11,2012-06-22,2011-11-13,2,145.85,98,547.55,15,41,903.8,1623.19,30,41,565.43
2,7,10,85,2012-10-29,2012-06-04,4,803.33,90,1608.27,98,91,570.27,1264.08,35,20,1134.73
2,8,1,12,2011-08-23,2011-05-31,4,598.23,88,621.24,67,90,49.84,1048.0,35,44,822.28
2,8,2,62,2012-03-10,2011-12-15,1,10.81,75,797.7,33,61,397.52,1784.63,27,42,422.17
2,8,3,84,2011-03-05,2012-08-07,1,40.71,62,1049.44,6,38,672.18,988.41,26,40,430.32
2,8,4,82,2011-02-16,2012-10-21,4,484.12,85,1046.9,38,57,746.02,1158.38,98,6,36.87
2,8,5,40,2012-01-24,2012-02-28,1,423.51,93,941.5,5,74,175.29,1621.99,20,60,1887.05
2,8,6,40,2012-10-16,2012-02-13,4,19.12,36,91.14,7,44,1818.11,510.1,38,20,653.22
2,8,7,11,2012-07-11,2012-05-06,2,166.9,64,97.61,34,37,838.65,1062.96,33,82,722.28
2,8,8,30,2011-10-15,2012-12-22,1,46.29,64,1731.37,55,77,43.36,904.15,64,5,489.62
2,8,9,82,2011-03-04,2011-10-05,1,29.55,28,621.4,57,97,1071.81,1996.98,19,23,556.66
2,8,10,51,2011-12-31,2011-10-17,1,474.77,33,1994.5,48,32,1630.6,802.85,20,92,1722.0
2,9,1,18,2012-09-17,2011-03-18,2,279.08,52,434.81,6,91,850.97,1521.72,83,100,431.31
2,9,2,37,2012-08-10,2011-06-06,1,934.27,77,172.48,49,91,1707.06,1574.34,67,17,798.55
2,9,3,17,2012-07-16,2012-09-17,1,852.58,15,748.27,26,11,1678.26,1171.82,54,39,886.51
2,9,4,14,2011-10-29,2011-04-29,1,962.65,1,126.11,57,83,1648.81,1421.2,4,55,574.06
2,9,5,50,2011-12-09,2011-09-05,2,210.39,84,1239.41,35,77,583.94,1670.3,25,36,699.83
2,9,6,63,2012-09-11,2011-10-31,2,464.26,55,455.02,96,78,522.34,1508.74,55,18,1075.5
2,9,7,100,2012-09-05,2011-08-29,1,487.2,12,1142.96,73,18,189.04,1538.0,7,69,1096.85
2,9,8,98,2012-06-18,2012-09-15,3,952.09,65,166.61,74,45,1114.55,1961.56,35,53,33.42
2,9,9,31,2012-09-04,2012-09-24,4,249.84,24,692.37,79,45,304.68,865.24,33,47,716.02
2,9,10,67,2011-02-11,2011-11-13,3,223.96,57,54.07,1,56,1391.47,1106.12,9,50,1193.52
2,10,1,92,2011-10-02,2012-05-01,3,157.51,24,584.66,37,1,1668.8,1621.37,64,26,442.83
2,10,2,51,2012-03-15,2011-04-04,3,836.34,45,955.07,35,1,817.81,1118.81,73,89,529.97
2,10,3,55,2012-10-13,2011-09-16,1,121.57,9,159.97,56,33,1835.41,1389.22,43,29,44.58
2,10,4,50,2011-04-14,2011-12-07,2,249.95,3,48.74,74,83,671.85,1748.08,12,74,1529.39
2,10,5,28,2012-01-09,2011-10-25,2,892.43,79,1582.36,36,28,1654.23,379.85,89,25,581.99
2,10,6,66,2012-11-05,2011-09-15,3,432.07,77,530.96,91,37,325.99,1461.61,82,73,434.09
2,10,7,56,2011-08-01,2011-04-09,3,804.62,97,443.89,75,63,1714.89,1006.56,60,32,1077.36
2,10,8,7,2011-11-05,2012-09-23,2,289.76,59,871.36,7,64,275.34,319.45,25,12,1520.14
2,10,9,11,2012-02-14,2012-07-11,1,735.4,20,1136.5,80,5,1332.31,484.62,42,76,22.46
2,10,10,37,2012-09-17,2012-05-13,1,568.64,18,1532.06,3,52,25.42,1902.27,90,40,48.0
3,1,1,43,2012-12-24,2012-03-01,3,199.57,95,11.8,100,48,962.29,1560.0,84,29,710.7
3,1,2,6,2011-05-28,2011-12-30,2,328.7,76,1544.05,27,10,1176.87,473.42,67,8,505.54
3,1,3,58,2012-07-11,2012-02-29,3,585.88,24,1227.58,85,36,1189.84,1677.44,43,28,1889.77
3,1,4,40,2011-05-27,2012-05-12,2,573.8,20,1947.66,12,10,346.26,775.43,87,57,1190.24
3,1,5,67,2011-05-15,2012-08-28,4,538.13,55,1676.17,71,16,905.75,739.13,1,67,1772.57
3,1,6,97,2011-01-05,2011-06-01,4,614.5,30,838.06,45,10,300.77,1505.01,7,52,1167.38
3,1,7,61,2011-05-25,2011-03-23,4,125.34,98,1624.36,77,4,804.02,561.12,95,78,1561.31
3,1,8,4,2011-12-29,2012-07-14,2,652.88,94,813.8,53,36,1723.55,712.31,64,73,1989.4
3,1,9,51,2011-05-13,2011-02-27,1,254.53,8,812.32,54,65,719.78,949.55,35,29,588.05
3,1,10,88,2011-02-09,2011-12-17,4,64.9,19,962.57,34,33,1350.0,362.03,64,61,886.46
3,2,1,64,2011-08-09,2012-05-02,4,391.3,80,227.39,99,23,1205.66,501.94,36,85,1761.41
3,2,2,88,2012-05-15,2011-03-10,4,850.69,41,852.04,3,80,1198.8,418.24,46,77,1912.13
3,2,3,43,2012-03-16,2011-08-06,3,377.09,21,1291.69,95,70,642.52,798.28,80,87,826.39
3,2,4,72,2012-05-18,2011-07-08,4,461.37,43,387.57,85,69,1516.3,1139.57,88,27,165.98
3,2,5,87,2011-09-23,2011-10-30,4,672.22,39,114.96,85,91,1878.01,1932.24,30,90,1458.64
3,2,6,88,2011-04-07,2012-03-18,1,156.11,8,1338.18,22,15,37.98,1356.81,28,44,1879.33
3,2,7,33,2011-07-03,2011-08-05,4,536.99,81,560.61,25,47,551.09,875.77,8,2,819.92
3,2,8,23,2011-04-05,2012-03-20,4,207.59,33,385.37,54,36,19.51,10.76,24,68,286.45
3,2,9,9,2011-10-10,2011-08-31,3,501.42,32,1314.62,51,68,402.07,500.24,64,46,910.42
3,2,10,43,2011-05-24,2012-05-12,4,567.53,33,859.76,47,99,1533.73,240.57,3,53,448.87
3,3,1,29,2012-07-04,2012-05-21,2,469.0,33,1008.87,54,85,472.35,715.31,81,22,969.54
3,3,2,52,2011-09-06,2011-12-04,2,712.71,83,1361.81,45,93,872.87,1872.62,25,6,1745.06
3,3,3,19,2012-04-20,2012-08-02,4,567.13,97,222.6,79,72,270.64,666.01,29,77,242.72
3,3,4,58,2011-07-01,2011-07-06,3,528.09,37,608.44,87,19,862.7,698.39,21,45,1597.25
3,3,5,83,2012-08-20,2011-03-17,4,393.85,51,599.03,46,69,1400.59,1321.33,12,24,1982.04
3,3,6,61,2011-09-24,2012-06-11,4,675.91,81,464.16,58,79,252.73,1803.8,39,8,1009.64
3,3,7,21,2011-03-23,2012-04-24,1,622.85,79,920.47,11,54,1563.6,812.77,64,55,168.42
3,3,8,89,2012-07-17,2011-11-09,4,830.06,18,311.94,79,27,899.79,990.08,95,59,939.12
3,3,9,73,2011-10-24,2011-11-10,4,179.94,85,1907.32,81,25,104.74,1453.34,53,52,1769.83
3,3,10,100,2011-12-14,2011-11-07,2,343.2,39,757.2,87,29,268.26,1850.11,8,90,1403.83
3,4,1,47,2012-08-11,2012-09-18,3,15.77,44,1048.74,71,11,1431.18,1327.35,97,31,1622.37
3,4,2,40,2011-07-04,2011-10-02,3,738.85,57,995.48,15,89,1557.41,1030.75,3,9,1380.07
3,4,3,31,2012-06-10,2011-02-13,1,357.27,82,1391.02,81,9,252.77,1531.09,30,81,981.64
3,4,4,47,2012-11-14,2011-12-10,2,187.09,90,1074.03,30,98,1132.52,580.8,7,39,1286.41
3,4,5,84,2011-04-27,2011-10-24,4,956.59,80,344.13,32,71,470.15,1068.92,57,57,766.75
3,4,6,89,2011-03-08,2012-02-29,2,687.69,85,1129.44,91,45,587.44,288.21,74,79,208.23
3,4,7,18,2011-12-27,2012-12-15,1,193.0,82,1325.03,13,84,1731.78,1367.55,16,50,867.08
3,4,8,19,2011-08-30,2011-12-19,1,682.16,53,1758.69,42,18,1441.63,123.51,31,89,1441.96
3,4,9,83,2011-06-28,2011-03-18,4,993.03,49,212.04,32,51,1633.06,1534.87,18,48,1656.97
3,4,10,69,2012-07-28,2011-08-09,3,484.17,21,458.18,78,86,536.93,1962.7,32,36,120.8
3,5,1,43,2012-11-10,2011-11-03,4,789.75,56,359.9,8,65,401.61,1734.08,74,7,388.63
3,5,2,60,2012-03-04,2011-09-12,1,5.91,49,384.48,2,73,1837.34,1006.32,11,42,1234.46
3,5,3,19,2011-10-10,2011-09-12,3,463.81,49,129.01,79,22,479.64,1270.52,63,69,1.64
3,5,4,83,2011-08-23,2012-12-20,3,205.73,36,84.97,31,66,1587.53,1525.94,68,32,1967.47
3,5,5,61,2012-02-16,2012-01-17,2,628.71,76,256.92,27,49,1099.39,800.19,13,61,668.76
3,5,6,51,2012-10-02,2011-11-21,2,869.5,92,323.67,31,80,1270.1,1015.95,99,12,1425.96
